"person","birthDate","deathDate","personName","personEcartico","birthPlaceEcartico","birthPlace","deathPlaceEcartico","deathPlace"
"http://www.vondel.humanities.uva.nl/ecartico/persons/13017","1583-01-08","1643-04-04","Simon Egbertsz. Bisschop","http://www.vondel.humanities.uva.nl/ecartico/persons/13017","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/13549","1547","1626-01-01","Cornelis Pieters Hooft","http://www.vondel.humanities.uva.nl/ecartico/persons/13549","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/1375","1585-03-16","1618-08-23","Gerbrand Adriaensz. Brederode","http://www.vondel.humanities.uva.nl/ecartico/persons/1375","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21702","1566","http://www.vondel.humanities.uva.nl/ecartico/persons/21702#deathdate","Dirck Arentsz gezegd Spiegel","http://www.vondel.humanities.uva.nl/ecartico/persons/21702","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21703","1569","http://www.vondel.humanities.uva.nl/ecartico/persons/21703#deathdate","Lysbeth Willems Bogaert","http://www.vondel.humanities.uva.nl/ecartico/persons/21703","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22503","1511","http://www.vondel.humanities.uva.nl/ecartico/persons/22503#deathdate","Aeff Jansdr. Pauw","http://www.vondel.humanities.uva.nl/ecartico/persons/22503","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22509","1533","http://www.vondel.humanities.uva.nl/ecartico/persons/22509#deathdate","Dieuwer Jacobsdr.","http://www.vondel.humanities.uva.nl/ecartico/persons/22509","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24203","1541","1624-04-26","Jan Jacobsz. Bal genaamd Huydecoper","http://www.vondel.humanities.uva.nl/ecartico/persons/24203","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24246","1577","http://www.vondel.humanities.uva.nl/ecartico/persons/24246#deathdate","Hendrick Coppit","http://www.vondel.humanities.uva.nl/ecartico/persons/24246","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/24247","1584","http://www.vondel.humanities.uva.nl/ecartico/persons/24247#deathdate","Silleken Princen","http://www.vondel.humanities.uva.nl/ecartico/persons/24247","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25575","1547-04-08","1619-01-29","Trijn Klaes Gaefdr.","http://www.vondel.humanities.uva.nl/ecartico/persons/25575","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/25578","1583-10-25","http://www.vondel.humanities.uva.nl/ecartico/persons/25578#deathdate","Lambert Lambertsz Opsy","http://www.vondel.humanities.uva.nl/ecartico/persons/25578","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/26300","1560-10-31","http://www.vondel.humanities.uva.nl/ecartico/persons/26300#deathdate","Aachje Heindrickx Loen","http://www.vondel.humanities.uva.nl/ecartico/persons/26300","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10251","1569-09-04","http://www.vondel.humanities.uva.nl/ecartico/persons/10251#deathdate","Hendrick Andriesz. Boelen","http://www.vondel.humanities.uva.nl/ecartico/persons/10251","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10253","1561","http://www.vondel.humanities.uva.nl/ecartico/persons/10253#deathdate","Pouwels Andriesz. Boelen","http://www.vondel.humanities.uva.nl/ecartico/persons/10253","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10732","1536","http://www.vondel.humanities.uva.nl/ecartico/persons/10732#deathdate","Cornelis Danckertsz.","http://www.vondel.humanities.uva.nl/ecartico/persons/10732","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10734","1561","http://www.vondel.humanities.uva.nl/ecartico/persons/10734#deathdate","Cornelis Cornelisz. Danckerts","http://www.vondel.humanities.uva.nl/ecartico/persons/10734","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10743","1576","http://www.vondel.humanities.uva.nl/ecartico/persons/10743#deathdate","David Jacobsz. de Wildt","http://www.vondel.humanities.uva.nl/ecartico/persons/10743","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11027","1577-05-02","http://www.vondel.humanities.uva.nl/ecartico/persons/11027#deathdate","Jacob Pietersz. Nachtglas","http://www.vondel.humanities.uva.nl/ecartico/persons/11027","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
"http://www.vondel.humanities.uva.nl/ecartico/persons/11028","1576","1649-03-23","Catharina Claes van der Meij","http://www.vondel.humanities.uva.nl/ecartico/persons/11028","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam","http://www.vondel.humanities.uva.nl/ecartico/places/11","Amsterdam"
