"person","birthDate","deathDate","personName"
"http://www.vondel.humanities.uva.nl/ecartico/persons/1000","1571","1638-10-21","Willem Jansz. Blaeu"
"http://www.vondel.humanities.uva.nl/ecartico/persons/10067","1584-02-12","1648-01-14","Caspar Barleus"
"http://www.vondel.humanities.uva.nl/ecartico/persons/1029","1566-12-24","1651-01-13","Abraham Bloemaert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/12828","1577-11-10","1660-09-12","Jacob Cats"
"http://www.vondel.humanities.uva.nl/ecartico/persons/13017","1583-01-08","1643-04-04","Simon Egbertsz. Bisschop"
"http://www.vondel.humanities.uva.nl/ecartico/persons/13549","1547","1626-01-01","Cornelis Pieters Hooft"
"http://www.vondel.humanities.uva.nl/ecartico/persons/13550","1581-03-16","1647-05-21","Pieter Cornelisz Hooft"
"http://www.vondel.humanities.uva.nl/ecartico/persons/1375","1585-03-16","1618-08-23","Gerbrand Adriaensz. Brederode"
"http://www.vondel.humanities.uva.nl/ecartico/persons/1455","1568","1625-01-12","Jan Brueghel I (de Oude)"
"http://www.vondel.humanities.uva.nl/ecartico/persons/17272","1579-09-16","1665-04-08","Samuel Coster"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2035","1522","1590-10-25","Dirck Volckertsz. Coornhert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2404","1580-09-15","1638-04-11","Willem Jacobsz. Delff"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3178","1521","http://www.vondel.humanities.uva.nl/ecartico/persons/3178#deathdate","Marcus Gheeraerts I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3410","1562","1638-11-11","Cornelis Cornelisz van Haarlem"
"http://www.vondel.humanities.uva.nl/ecartico/persons/3806","1563-10-17","http://www.vondel.humanities.uva.nl/ecartico/persons/3806#deathdate","Jodocus Hondius I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/4276","1548-03-18","http://www.vondel.humanities.uva.nl/ecartico/persons/4276#deathdate","Cornelis Goverts Ketel de Jonge"
"http://www.vondel.humanities.uva.nl/ecartico/persons/694","1571","http://www.vondel.humanities.uva.nl/ecartico/persons/694#deathdate","Frans Badens II"
"http://www.vondel.humanities.uva.nl/ecartico/persons/717","1575","1632-07-17","Hendrick van Balen I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/749","1534","http://www.vondel.humanities.uva.nl/ecartico/persons/749#deathdate","Dirck Barendsz."
"http://www.vondel.humanities.uva.nl/ecartico/persons/9203","1552","1615-03-04","Hans von Aachen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21702","1566","http://www.vondel.humanities.uva.nl/ecartico/persons/21702#deathdate","Dirck Arentsz gezegd Spiegel"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21703","1569","http://www.vondel.humanities.uva.nl/ecartico/persons/21703#deathdate","Lysbeth Willems Bogaert"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21721","1555","1635-05-01","Aernout van Cobbout"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21725","1583","1643","Susanna van Valkenburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21726","1584","http://www.vondel.humanities.uva.nl/ecartico/persons/21726#deathdate","Fabian van Vliet"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21732","1587","http://www.vondel.humanities.uva.nl/ecartico/persons/21732#deathdate","Marcus van Valkenburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21735","1573","http://www.vondel.humanities.uva.nl/ecartico/persons/21735#deathdate","Hans van Valkenburg"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21748","1531-10-27","1581-04-03","Huijbert Jacobsz. Duijfhuijsen"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2184","1499","1592-03-10","Michiel (van) Coxie I"
"http://www.vondel.humanities.uva.nl/ecartico/persons/2185","1569","http://www.vondel.humanities.uva.nl/ecartico/persons/2185#deathdate","Michiel (van) Coxie II"
"http://www.vondel.humanities.uva.nl/ecartico/persons/21991","1555","http://www.vondel.humanities.uva.nl/ecartico/persons/21991#deathdate","Henrick Lubbertsz. van Vollenhoven"
"http://www.vondel.humanities.uva.nl/ecartico/persons/22020","1581-07-07","1652","Philips de Flines"
